0	1
2	3
2	4
5	6
7	8
9	10
11	12
9	13
14	15
11	16
11	17
16	18
19	20
21	22
16	23
6	23
17	24
25	26
5	27
5	28
5	29
30	31
7	32
12	22
5	16
9	27
5	17
14	22
9	16
33	34
9	2
30	35
36	21
16	6
37	14
38	21
39	40
41	42
38	43
44	22
45	46
5	39
47	22
41	48
5	37
49	50
27	50
16	12
16	28
6	28
16	29
42	51
6	29
11	42
16	17
6	17
30	32
52	11
53	54
52	55
5	42
9	56
14	57
58	59
9	60
16	39
6	39
14	61
16	37
28	62
6	37
5	48
21	5
25	40
5	63
49	30
27	30
64	65
27	66
37	15
9	44
24	67
68	69
30	21
42	46
38	50
29	28
14	35
64	37
30	70
52	71
33	48
29	17
53	34
16	48
6	48
27	40
49	54
44	35
27	54
27	20
68	54
9	72
49	73
52	31
74	61
57	8
68	75
76	48
39	25
36	5
77	12
29	39
56	52
21	40
78	50
38	5
52	79
21	54
52	35
21	20
39	80
29	37
77	16
52	14
77	17
25	81
14	32
19	48
71	82
24	48
52	8
27	18
36	30
27	83
68	18
54	40
38	30
84	81
38	66
78	85
51	76
30	41
53	25
21	18
86	12
21	83
86	16
21	43
52	32
86	17
68	10
87	2
27	6
49	34
68	13
27	34
21	82
29	48
84	88
68	34
56	22
38	40
38	54
30	50
38	20
89	90
14	21
53	56
21	6
21	34
91	5
27	12
55	92
49	53
93	94
27	29
68	27
44	21
68	53
27	2
27	17
44	43
68	16
84	25
68	9
44	70
68	2
21	12
21	27
38	18
37	35
27	65
21	29
38	83
60	32
7	54
21	2
21	17
21	65
17	36
12	17
95	64
5	96
52	22
38	6
38	34
49	97
14	41
21	50
49	56
27	56
93	87
64	98
68	56
92	27
36	12
68	60
36	53
38	12
36	29
99	76
38	27
30	54
36	100
38	29
10	2
10	100
55	101
38	2
38	100
38	17
11	36
49	48
14	50
27	48
22	15
20	48
21	102
95	65
16	96
49	103
6	96
27	103
38	65
49	44
27	44
93	34
21	48
68	44
54	60
104	62
30	18
9	105
83	106
16	107
11	86
78	17
52	61
74	41
21	66
52	108
109	48
68	45
36	97
44	5
38	97
30	10
30	13
36	60
35	110
38	56
18	98
14	30
38	60
9	49
73	111
74	50
11	77
16	105
73	106
16	36
14	69
52	5
50	63
36	48
44	30
38	48
29	96
36	63
17	19
38	103
0	8
112	52
38	63
36	44
30	16
30	9
38	44
14	54
7	60
14	75
55	38
27	113
94	17
44	54
44	20
0	32
44	75
17	104
80	85
47	40
47	54
14	78
97	114
74	66
11	19
14	18
52	40
52	54
52	20
58	115
52	75
85	88
67	60
25	80
112	22
44	116
30	97
72	117
42	31
19	118
14	10
30	42
14	13
11	104
52	18
52	119
52	116
42	14
52	83
52	21
30	48
44	13
9	101
52	43
77	36
52	70
44	6
103	52
120	71
11	51
38	113
14	12
14	27
27	96
14	53
97	76
9	104
14	29
14	16
52	13
14	9
74	23
16	19
14	2
14	17
52	64
52	6
52	34
95	98
36	98
21	96
77	86
44	16
17	68
76	19
44	2
86	36
48	88
74	10
61	97
102	15
9	120
52	12
44	65
52	27
43	77
21	97
52	53
52	29
37	121
16	104
52	16
75	112
52	9
21	56
52	2
52	17
21	60
1	8
25	122
103	22
52	41
44	37
52	65
27	105
11	46
16	51
68	105
11	68
113	108
14	24
14	56
74	16
58	66
42	15
21	103
14	60
26	39
38	96
1	32
52	50
44	60
5	68
14	48
27	49
68	49
52	24
14	44
44	48
77	19
52	48
22	41
14	45
123	97
98	65
37	28
6	68
37	17
38	105
52	30
38	36
110	36
44	45
24	106
52	66
37	65
77	104
74	48
86	19
37	39
123	63
21	113
38	49
38	86
30	96
0	73
86	104
124	121
36	92
9	112
30	107
38	123
38	92
29	68
125	118
27	101
68	101
27	74
55	126
37	48
14	98
22	69
27	7
27	104
21	101
68	104
17	62
30	105
78	92
77	68
21	104
52	98
22	73
68	120
36	47
12	104
5	1
38	47
110	47
30	95
91	123
50	101
11	62
55	59
52	100
86	68
36	101
21	91
55	14
38	101
36	74
58	63
37	124
38	74
44	96
36	104
78	47
38	7
38	104
16	1
24	89
6	1
52	37
0	37
52	96
21	105
49	46
27	46
27	109
68	46
5	127
1	54
112	69
14	105
42	34
14	36
52	60
16	62
21	49
21	86
44	111
44	105
51	56
16	127
6	127
42	16
14	49
52	44
14	86
21	92
128	76
29	1
36	109
38	46
120	129
38	109
38	68
52	45
52	122
14	77
37	96
111	118
49	112
88	80
11	14
16	126
16	0
29	127
109	99
21	19
77	62
5	14
51	130
1	37
12	19
74	92
52	113
24	126
21	74
14	19
21	7
14	101
86	62
30	68
1	60
27	1
63	97
6	14
44	101
14	104
17	22
99	48
44	74
21	1
44	7
44	104
52	101
27	62
14	120
52	104
89	13
21	62
5	15
53	0
44	120
11	22
9	15
55	32
118	48
73	52
12	62
74	104
52	120
21	46
21	109
21	68
38	1
29	76
9	22
12	68
49	55
16	15
27	55
6	15
68	55
14	68
51	107
52	111
38	62
52	105
52	36
44	109
7	1
55	21
55	43
27	126
17	35
16	22
49	0
27	0
68	0
21	126
21	0
52	95
52	49
11	31
11	35
29	15
52	92
27	79
5	35
20	76
36	114
36	126
9	35
38	114
38	126
38	0
22	49
52	93
36	71
109	76
37	68
38	71
47	112
16	35
41	15
77	22
6	35
78	114
9	32
52	19
55	85
57	7
131	38
68	52
